Aims,itr
polymer bulletin publishes significant advances polymer science including chemistry physical chemistry physics material science aims provide meeting ground researchers daily encounter problems related polymers welcome opportunities share discoveries expeditious manner,775
clinical rheumatology international journal devoted publishing english language original clinical investigation research general field rheumatology accent clinical aspects postgraduate level studies carried world considered basic criterion acceptance medical scientific standard work described manuscripts submitted publication scrutinised independent expert assessors accepted published promptly clinical rheumatology succeeds acta rheumatologica belgica originally founded official journal belgian rheumatology society journal international audience concentrated eastern southern europe society broadened scope journal adapted editorial board title journal accordingly rheumatology europe restricted inflammatory rheumatic diseases includes non surgical bone diseases general rehabilitation aim editorial board clinical rheumatology reflect field rheumatology wider aspects clinical rheumatology aims cover modern trends clinical experimental research management evaluation diagnostic treatment procedures connected inflammatory immunologic metabolic genetic degenerative soft hard connective tissue diseases original publications short communications editorials reviews relation topics accepted letters editor welcome enhancement discussions case reports longer accepted instead authors invited submit case based review case report extreme clinical incorporating mini literature review area new knowledge articles eu ropean languages english submitted translated english expense authors accepted,779
marine biodiversity peer reviewed international journal devoted aspects biodiversity research marine ecosystems marine biodiversity considers original research papers reviews short notes page news oceanarium taxonomy systematics phylogeny kind marine organisms biogeography morphological genetic diversity distribution species diversity patterns gradients existence species species interactions processes factors influencing community structure structure function marine ecosystems present historical use marine biodiversity human populations additional scope journal includes models concepts explaining aspect species existence species distribution descriptions new methods improve biodiversity research species inventories new records distributions individual species considered publication unless high implications biogeography ecosystem structure functioning demonstrated marine biodiversity specially encourages contributions dealing understanding evolution maintenance biodiversity marine systems role species structuring marine ecosystem functioning,789
transactions indian institute metals publishes original research articles reviews ferrous non ferrous process metallurgy structural functional materials development physical chemical mechanical metallurgy welding science technology metal forming particulate technologies surface engineering characterization materials thermodynamics kinetics materials modelling allied branches metallurgy materials engineering transactions indian institute metals serves forum rapid publication recent advances branches metallurgy materials engineering technical content journal scrutinized editorial board composed experts various disciplines metallurgy materials engineering editorial advisory board provides valuable advice technical matters related publication transactions articles published categories original research articles presenting original work embodying results extensive theoretical laboratory plant field investigations review articles embodying extensive critical assessment state art contemporary topic theme journal publishes occasionally special issues current topics papers special issues generally invited editorial board papers presented national international symposia conferences considered publication special issues peer review awardsall articles appear transactions indian institute metals calendar year considered best paper awards binani gold medal given best paper published category non ferrous group sail gold medal awarded best paper published ferrous group pandya silver medal awarded best paper published transactions member iim age years single author,790
journal electronic materials reports science technology electronic materials examining new applications semiconductors magnetic alloys insulators optical display materials strives publish papers non specialists specialists electronic materials field journal contains technical papers detailing critical new developments electronics field invited contributed review papers topics current types papers published jem regular issue papers deal new original workletters research papersreviews lengthy papers cover certain area researchspecial issue papers designated papers new original research topic presented issue special section papers include papers concerned research topic journal welcomes articles methods preparing evaluating chemical physical electronic optical properties materials specific areas materials state art transistors nanotechnology electronic packaging detectors emitters metallization superconductivity energy applications submissions journal electronic materials scope advance scientific knowledge addressing important questions relevant research electronic materials specifically report make substantial advancement understanding properties electronic materials closely related disciplines equally important submission adhere highest principles scientific ethics review papers current topics enable individuals field electronics abreast activities areas peripheral jem publishes select papers conferences electronic materials conference workshop physics chemistry ii vi materials international conference thermoelectrics journal benefits specialists non specialists electronic materials field,794
optical quantum electronics provides international forum publication original research papers tutorial reviews letters fields optical physics optical engineering optoelectronics special issues published topics current optical quantum electronics published monthly concerned technology physics optical systems components devices topics optical fibres semiconductor lasers leds light detection imaging devices nanophotonics photonic integration optoelectronic integrated circuits silicon photonics displays optical communications devices systems materials photonics semiconductors glasses graphene physics simulation optical devices systems nanotechnologies photonics including engineered nano structures photonic crystals sub wavelength photonic structures metamaterials plasmonics advanced quantum optoelectronic applications quantum computing memory communications quantum sensing quantum dots photonic sensors bio sensors terahertz phenomena non linear optics ultrafast phenomena green photonics,800
journal electronic materials reports science technology electronic materials examining new applications semiconductors magnetic alloys insulators optical display materials strives publish papers non specialists specialists electronic materials field journal contains technical papers detailing critical new developments electronics field invited contributed review papers topics current types papers published jem regular issue papers deal new original workletters research papersreviews lengthy papers cover certain area researchspecial issue papers designated papers new original research topic presented issue special section papers include papers concerned research topic journal welcomes articles methods preparing evaluating chemical physical electronic optical properties materials specific areas materials state art transistors nanotechnology electronic packaging detectors emitters metallization superconductivity energy applications submissions journal electronic materials scope advance scientific knowledge addressing important questions relevant research electronic materials specifically report make substantial advancement understanding properties electronic materials closely related disciplines equally important submission adhere highest principles scientific ethics review papers current topics enable individuals field electronics abreast activities areas peripheral jem publishes select papers conferences electronic materials conference workshop physics chemistry ii vi materials international conference thermoelectrics journal benefits specialists non specialists electronic materials field,808
international journal biometeorology serves flagship publication international society biometeorology thematically reflects society core research interests journal publishes original research papers review articles short communications studies examining relationships atmospheric environment living organisms living organisms extend single cell organisms plants animals including humans atmospheric environment includes climatological meteorological conditions natural artificial surroundings historical climate change related analyses journal embraces theoretical applied research editorial board encourages papers explore novel methods results significantly advance collective body biometeorological knowledge use knowledge improve resilience human natural systems research papers expected adhere scientific standards including clear expression hypotheses appropriate methods thorough discussion interpretation results context existing literature international journal research papers locations welcome long international audience manuscripts focus replicating existing methods testing hypotheses addressed literature producing results primarily local discouraged editor chief scott sheridan professor acting departmental chairperson department geography kent state university ohio usa,809
journal korean physical society jkps international journal published semi monthly korean physical society kps aim dig circulate new original research results fields fundamental applied interdisciplinary physics variety different article types including research articles letters review articles comments replies regular issues jkps publishes proceedings international conferences occasionally peer review process standard peer review proceedings regular issues jkps publishes topical reviews provide comprehensive extensive summary recent research results physics current broader audience topical review aim summarize pertinent experimental theoretical computational results topical reviews published invitation collaboration kps divisions topical reviews subject peer review range topics jkps extensive including general mathematical statistical physics particles nuclei atoms molecules optics classical mechanics discrete systems fluids plasms phenomenology condensed matter physics cross disciplinary physics related areas science technology geophysics astrophysics,816
recent years journal microbial ecology revamped provide international forum presentation high quality scientific investigations microbial ecology microorganisms interact biotic abiotic environments neighbors hosts journal presents high quality peer reviewed manuscripts multiple formats inclusive length manuscripts commentaries notes brief reviews topical position papers encouraged journal rapid average turn rate weeks notesmicrobial ecology accepts shorter contributions forms notes note continuous text length words figures tables brief legends methods included references journal coverage includes ecology microorganisms natural engineered environments genomic metagenomic molecular advances understanding microbial interactions phylogeny microbial drivers biogeochemical processes inter intraspecific microbial communication ecological studies animal plant insect microbiology disease microbial processes interactions extreme unusual environments microbial population community ecology technological advances allow increase understanding microbial diversity interactions welcome topics covered journal include pathogens environment key players carbon cycle aquatic ecosystems phage plasmids mobile elements ecology biofilms soil microbe interactions technology developments study microbial ecology host microbe interactions aquatic microbiology genes genomes microbial evolution,823
metallurgical materials transactions archival peer reviewed bi monthly publication uniquely focused processing science engineering metals materials journal publishes original research reviews regarding theoretical engineering aspects processing metals materials including studies electro physical chemistry mass transport mathematical computational modeling verified experimental industrial applications novel materials processing main topics composite materials hydrometallurgy pyrometallurgy electrometallurgy transport phenomena process control physical chemistry solidification kinetics thermodynamics reactions materials processing welding joining surface treatment mathematical modeling environment light metals classes articles journal technical publications journal welcomes complete original work embodying results extensive field plant laboratory theoretical investigation new interpretations existing problems materials considered significant permanent value addition technical acceptability material presented clearly concisely particular importance description experimental procedures involved experiment important critical information experimental conditions included work verified scientists article class critical review papers solicited editors provide overview current state art research particular subject communications class provides rapid publication short items theoretical experimental work immediate current discussions replies short discussions technical publications communications contribute original article providing confirmation additional interpretation articles referred original authors reply discussions authors replies published concurrently possible,843
journal interdisciplinary journal presenting theory practice signal image video processing aims disseminating high level research results engineering developments signal image video processing researchers research groups presenting practical solutions current signal image video processing problems engineering scienceit features original research work review tutorial papers accounts practical developments intended rapid dissemination knowledge experience scientists engineers working area related using signal image video processing subject areas covered journal include limited adaptive processing biomedical signal processing multimedia signal processing communication signal processing non linear signal processing array processing statistics statistical signal processing modeling filtering data science graph signal processing multi resolution signal analysis wavelets segmentation coding restoration enhancement storage retrieval colour multi spectral processing scanning displaying printing interpolation image processing video processing motion detection estimation stereoscopic processing image video coding image video processing manuscripts addressing real time algorithmic hardware software implementation issues encouraged submitted springer journal real time image processing dedicated real time aspects image video processing editorial policy technical content journal responsibility editor chief editorial board journal welcomes contributions country world submissions peer reviewed anonymous referees authors note submitted manuscripts longer pages final column format journal including text figures references th page contain references instructions sivp authors information,844
journal silicon intended serve involved studying role silicon enabling element materials science restrictions disciplinary boundaries provided focus silicon based materials adds significantly understanding materials accordingly contributions welcome areas inorganic organic chemistry physics biology engineering nanoscience environmental science electronics optoelectronics modeling theory relevant silicon based materials include limited semiconductors polymers composites ceramics glasses coatings resins composites small molecules films editor chief associate editors rigorous refereeing procedures ensure journal maintains highest levels integrity scientific standards broadest international coverage silicon accepts submissions researchers academia industry national research laboratories research institutions silicon publication platform novel knowledge scientific dialogue disciplines silicon enabling element silicon accepts novel submissions form short communications original articles essays reviews submitted articles complete reports significant results conclusions focus aspect silicon present communications preliminary reports words unusually urgent significance wider reviews critically evaluated surveys progress words contain new information subject,850
polymer bulletin publishes significant advances polymer science including chemistry physical chemistry physics material science aims provide meeting ground researchers daily encounter problems related polymers welcome opportunities share discoveries expeditious manner,863
tca publishes papers fields theoretical chemistry computational chemistry modeling fundamental studies applications included scope cases theorists computational chemists special concerns reach vertical borders special disciplines chemistry horizontal borders structure spectra synthesis dynamics tca especially interested papers impact multiple chemical disciplines tca founded specifically provide theoretical chemists high quality peer reviewed communication medium work tca letters section guarantees review manuscripts submitted letters section weeks receipt meet need rapid publication response need accounts assist researchers maintaining perspective important recent developments tca publishes overviews coherent body work especially rapidly developing subfield theoretical computational chemistry finally tca publishes regular articles reporting original work articles contain details theory computations tca encourages authors advantage opportunities offered electronic publishing maintains internet archive viewing storage downloading supplementary material papers published tca,870
journal scientific computing international interdisciplinary forum publication papers state art developments scientific computing applications science engineering journal publishes high quality peer reviewed original papers review papers short communications scientific computing,872
promote scientific excellence research quality publications branches biological sciences disseminate knowledge advancements science technology popularize biological science students communities andc promote scientific technological research projects societal welfare,895
international journal biometeorology serves flagship publication international society biometeorology thematically reflects society core research interests journal publishes original research papers review articles short communications studies examining relationships atmospheric environment living organisms living organisms extend single cell organisms plants animals including humans atmospheric environment includes climatological meteorological conditions natural artificial surroundings historical climate change related analyses journal embraces theoretical applied research editorial board encourages papers explore novel methods results significantly advance collective body biometeorological knowledge use knowledge improve resilience human natural systems research papers expected adhere scientific standards including clear expression hypotheses appropriate methods thorough discussion interpretation results context existing literature international journal research papers locations welcome long international audience manuscripts focus replicating existing methods testing hypotheses addressed literature producing results primarily local discouraged editor chief scott sheridan professor acting departmental chairperson department geography kent state university ohio usa,899
catalysis letters aim rapid publication outstanding high impact original research articles catalysis scope journal covers broad range topics fields applied theoretical catalysis including heterogeneous homogeneous biocatalysis high quality original research articles published catalysis letters subject rigorous peer review accepted papers published online subsequently print issues contributions include graphical abstract manuscripts written english responsibility lies authors ensure grammatically linguistically correct authors english working language encouraged consider using professional language editing service submitting manuscripts,900
topics catalysis publishes topical collections fields catalysis composed invited articles leading authors journal documents today emerging critical trends branches catalysis themed issue organized renowned guest editors collaboration editors chief topical collections focus emerging areas catalysis field presenting key research international meetings field journal publishes issues year proposals new topics welcome submitted directly editors chief,901
primary aim international journal multidisciplinary forum publications fields oral medicine especially intended create connection basic clinical sciences promote exchange information advancement oral medicine benefit patients clinical oral investigations publishes original scientific articles invited reviews provide international readership date results basic clinical studies field oral maxillofacial science medicine aims clarify relevance results modern practice covered topics maxillofacial oral surgery prosthetics restorative dentistry operative dentistry endodontics periodontology orthodontics dental materials science clinical trials epidemiology pedodontics oral implant preventive dentistiry oral pathology oral basic sciences submission case reports generally discouraged,906
plant molecular biology international journal dedicated rapid publication original research articles areas plant biology editorial board welcomes length manuscripts address important biological problems broad including research comparative genomics functional genomics proteomics bioinformatics computational biology biochemical regulatory networks biotechnology space journal limited preference given publication results provide significant new insights biological problems advance understanding structure function mechanisms regulation authors ensure results high quality manuscripts written broad plant science audience plant molecular biology receives gene discovery gene sequence papers editorial board encourages papers plant functional genomics computational approaches bioinformatics policy gene discovery papers accompanied significant new biological biochemical protein structural information plant molecular biology editorial board discourages submission manuscripts follow editorial policy manuscripts reporting cloning new genes functional information obtained biochemical assays genetic analysis appropriate experimental approaches considered returned review reports genes function analyzed plant systems considered research significantly advances understanding biological function regulation supporting results dna rna protein blots limited situ analysis experiments sufficient documentation gene function regulation manuscripts reporting new experimental techniques construction dna libraries mutant collections phy logenetic analysis computational methods considered provide important new information significant resources plant community service authors plant molecular biology offers free color submissions speed publication immediate posting accepted paper springer web listed ranking isi listing rapid quality reviews mini reviews important topics special attention high quality illustrations page charges free notification service new publications springer online online availability institutions,932
russian physics journal covers broad spectrum specialized research applied physics emphasis work practical applications solid state physics optics magnetism particularly interesting results reported connection electroluminescence crystal phospors semiconductors phase transformations solids superconductivity properties films magnetomechanical phenomena russian physics journal translation russian journal izvestiya vuz fizika russian volume year published english beginning july articles peer reviewed,935
plant molecular biology international journal dedicated rapid publication original research articles areas plant biology editorial board welcomes length manuscripts address important biological problems broad including research comparative genomics functional genomics proteomics bioinformatics computational biology biochemical regulatory networks biotechnology space journal limited preference given publication results provide significant new insights biological problems advance understanding structure function mechanisms regulation authors ensure results high quality manuscripts written broad plant science audience plant molecular biology receives gene discovery gene sequence papers editorial board encourages papers plant functional genomics computational approaches bioinformatics policy gene discovery papers accompanied significant new biological biochemical protein structural information plant molecular biology editorial board discourages submission manuscripts follow editorial policy manuscripts reporting cloning new genes functional information obtained biochemical assays genetic analysis appropriate experimental approaches considered returned review reports genes function analyzed plant systems considered research significantly advances understanding biological function regulation supporting results dna rna protein blots limited situ analysis experiments sufficient documentation gene function regulation manuscripts reporting new experimental techniques construction dna libraries mutant collections phy logenetic analysis computational methods considered provide important new information significant resources plant community service authors plant molecular biology offers free color submissions speed publication immediate posting accepted paper springer web listed ranking isi listing rapid quality reviews mini reviews important topics special attention high quality illustrations page charges free notification service new publications springer online online availability institutions,938
publishes original research physical chemical biological aspects transport porous mediapapers porous media research originate various areas physics chemistry biology natural materials science engineering chemical civil agricultural petroleum environmental electrical mechanical engineering emphasizes theory numerical modelling laboratory work non routine applicationspublishes work fundamental nature wide readership provides novel insight porous media processesexpanded issues yeartransport porous media publishes original research physical chemical aspects transport phenomena rigid deformable porous media phenomena occurring single multiphase flow porous domains governed extensive quantities mass fluid phase mass component phase momentum energy porous medium deformations induced transport phenomena chemical electro chemical activities swelling external loading forces displacements porous media phenomena studied researchers various areas physics chemistry biology natural materials science engineering chemical civil agricultural petroleum environmental electrical mechanical engineering transport deformation phenomena understood microscopic scale upward form basis deterministic stochastic models models adaptable coupled transport phenomena deformation kind natural engineered porous material including flow contaminant transport aquifers oil gas movement petroleum reservoirs solvent drives enhanced oil recovery heat mass transport packed bed reactors geothermal reservoirs building materials spread pollutants radioactive waste repositories drying porous materials flow transport fuel cells paper absorbing materials filtration processes biomedical studies fluid chemical transport lungs organs coupling porous media flow flow domains considered,939
aim journal material cycles waste management develop solutions prescriptions material cycles focus journal twofold research technical political environmental problems material cycles waste management information contributes development interdisciplinary science material cycles waste management journal publishes original articles reviews invited papers wide range disciplines related material cycles waste management experts material cycles waste management parts world encouraged submit work publication asia related research information especially welcome details format length articles consult instructions authors published journal,941
aim journal material cycles waste management develop solutions prescriptions material cycles focus journal twofold research technical political environmental problems material cycles waste management information contributes development interdisciplinary science material cycles waste management journal publishes original articles reviews invited papers wide range disciplines related material cycles waste management experts material cycles waste management parts world encouraged submit work publication asia related research information especially welcome details format length articles consult instructions authors published journal,947
broad based journal covering branches computational applied numerical mathematics papers containing new ideas creative approaches innovative applications welcome papers study novel theory analysis applications innovative analytical numerical techniques sought,953
journal medical systems provides forum presentation discussion increasingly extensive applications new information systems techniques methods health care settings features sections focusing mobile wireless healthquality improvementtransaction processing systemsimage signal processingpatient facing systemseducation trainingjournal publishes informative original articles reviews studies entire scale medical systems large hospital programs novel small scale medical services education integral amalgamation sciences selected articles published area journal medical systems indexed thomson scientific products services science citation index expanded known scisearch current contents clinical medicinejournal citation reports science edition,957
publishes original research physical chemical biological aspects transport porous mediapapers porous media research originate various areas physics chemistry biology natural materials science engineering chemical civil agricultural petroleum environmental electrical mechanical engineering emphasizes theory numerical modelling laboratory work non routine applicationspublishes work fundamental nature wide readership provides novel insight porous media processesexpanded issues yeartransport porous media publishes original research physical chemical aspects transport phenomena rigid deformable porous media phenomena occurring single multiphase flow porous domains governed extensive quantities mass fluid phase mass component phase momentum energy porous medium deformations induced transport phenomena chemical electro chemical activities swelling external loading forces displacements porous media phenomena studied researchers various areas physics chemistry biology natural materials science engineering chemical civil agricultural petroleum environmental electrical mechanical engineering transport deformation phenomena understood microscopic scale upward form basis deterministic stochastic models models adaptable coupled transport phenomena deformation kind natural engineered porous material including flow contaminant transport aquifers oil gas movement petroleum reservoirs solvent drives enhanced oil recovery heat mass transport packed bed reactors geothermal reservoirs building materials spread pollutants radioactive waste repositories drying porous materials flow transport fuel cells paper absorbing materials filtration processes biomedical studies fluid chemical transport lungs organs coupling porous media flow flow domains considered,940
journal racial ethnic health disparities reports scholarly progress work understand address ultimately eliminate health disparities based race ethnicity efforts explore underlying causes health disparities interventions undertaken address racial ethnic health disparities featured promising studies ongoing studies longer term data welcome studies serve lessons best practices eliminating health disparities original research systematic reviews commentaries presenting state art thinking problems centered health disparities considered publication particularly encourage review articles generate innovative testable ideas constructive discussions critiques health disparities journal racial ethnic health disparities receives large number submissions submissions journal sent peer review,980
landscape ecology flagship journal established rapidly developing interdisciplinary science focuses explicitly ecological understanding spatial heterogeneity landscape ecology draws expertise biophysical socioeconomic sciences explore basic applied research questions concerning ecology conservation management design planning sustainability landscapes coupled human environment systems landscape ecology studies characterized spatially explicit methods spatial attributes arrangements landscape elements directly analyzed related ecological processes manuscripts keen awareness current literature immediate relevance following key topics flows redistributions organisms materials energy landscape mosaics landscape connectivity fragmentation ecosystem services dynamic landscapes especially tradeoffs synergies landscape history legacy effects landscape climate change interactions particularly mitigation adaptation landscape sustainability resilience relationships ecosystem services human changing landscapes mechanisms ecological impacts land use change scaling relations hierarchical linkages patterns processes landscapes innovative methods landscape analysis modeling accuracy assessment uncertainty analysis landscape studies valuable resource researchers practitioners ecology conservation ecosystem management landscape planning design landscape ecology currently leading journals fields,982
journal gastrointestinal surgery scholarly peer reviewed journal designed furnish surgeon latest developments gastrointestinal surgery published times year journal includes editorial columns ssat presidential address articles guest orator symposia subject reviews book reports gastrointestinal images articles letters editor results conferences original scientific articles relevant surgery digestive tract journal official publication society surgery alimentary tract journal serves outstanding forum continuing education surgery diseases gastrointestinal tract,983
bulletin experimental biology medicine presents original peer reviewed research papers brief reports priority new research results physiology biochemistry biophysics pharmacology immunology microbiology genetics oncology novel trends science covered new sections journal biogerontology human ecology appeared world scientific stem cells prompted inclusion bulletin experimental biology medicine quarterly scientific journal cell technologies biology medicine new russian academy medical sciences publication publishes original papers leading research institutions molecular biology stem progenitor cells stem cell basis gene therapy molecular language cell cell communication cytokines chemokines growth factors pilot projects clinical use stem progenitor cells russian volume year published english april,984
general relativity gravitation journal devoted aspects modern gravitational science published auspices international society general relativity gravitation welcomes particular original articles following topics current research analytical general relativity including interface geometrical analysisnumerical relativitytheoretical observational cosmologyrelativistic astrophysicsgravitational waves data analysis astrophysical sources detector scienceextensions general relativitysupergravitygravitational aspects string theory extensionsquantum gravity canonical approaches particular loop quantum gravity path integral approaches particular spin foams regge calculus dynamical triangulationsquantum field theory curved spacetimenon commutative geometry gravitationexperimental gravity particular tests general relativitythe journal publishes articles theoretical experimental aspects modern general relativity gravitation book reviews historical articles special article typesresearch articles presenting original research resultsletters summarizing new results researchers primary lies nearby areas typically interested complete derivations details numerical simulations limited journal pages invited reviews detailed status reports short summarzing reviewsgolden oldies republications seminal papers known hidden treasures selected papers marked editor choice primary criteria original high quality research wide community,987
general relativity gravitation journal devoted aspects modern gravitational science published auspices international society general relativity gravitation welcomes particular original articles following topics current research analytical general relativity including interface geometrical analysisnumerical relativitytheoretical observational cosmologyrelativistic astrophysicsgravitational waves data analysis astrophysical sources detector scienceextensions general relativitysupergravitygravitational aspects string theory extensionsquantum gravity canonical approaches particular loop quantum gravity path integral approaches particular spin foams regge calculus dynamical triangulationsquantum field theory curved spacetimenon commutative geometry gravitationexperimental gravity particular tests general relativitythe journal publishes articles theoretical experimental aspects modern general relativity gravitation book reviews historical articles special article typesresearch articles presenting original research resultsletters summarizing new results researchers primary lies nearby areas typically interested complete derivations details numerical simulations limited journal pages invited reviews detailed status reports short summarzing reviewsgolden oldies republications seminal papers known hidden treasures selected papers marked editor choice primary criteria original high quality research wide community,990
journal forestry research jfr publishes scientific articles related forestry broad range international scientists forest managers practitioners scope journal covers following subjects tree genetics tree breedingtree physiologysilvicultureforest soilforest hydrologyforest ecologyforest adaptation climate changerestoration ecologyurban forestryforest managementforest biometricsforest rs gis modelingforest health monitoring assessmentforest fireforest resource conservationforest entomology pathologyforest biomass carbon bioenergyforest engineeringwood science biomaterialswildlife ecology managementalthough jfr comprehensive academic journal covering nearly subjects forestry journal publish papers related forest economics medicinal plants fruit trees landscape architecture horticulture aquatic organisms technologies extractions composition wood wood products technology pulp processing manufacturing methods subjects addressed journals journal welcomes review articles original papers short communications high academic quality journal seeks manuscripts reporting breakthroughs knowledge approaches techniques understanding broad spectrum forests forestry papers subject peer review submissions judged originality importance subject matter clarity accuracy quality scientific writing,992
aaps pharmscitech peer reviewed online journal committed serving pharmaceutical scientists engineers interested research development evaluation pharmaceutical dosage forms delivery systems including drugs derived biotechnology manufacturing science pertaining commercialization dosage forms electronic nature aaps pharmscitech aspires utilize evolving electronic technology enable faster diverse mechanisms information delivery readership submission uninvited expert reviews research articles welcomed aaps pharmscitech publishes issues year,1002
inorganic materials journal publishes reviews original articles devoted chemistry physics applications various inorganic materials including high purity substances materials journal discusses phase equilibria including diagrams fundamentals inorganic materials science determines preparatory conditions compounds various compositions specified deviations stoichiometry inorganic materials multidisciplinary journal covering classes inorganic materials journal welcomes manuscripts countries english russian language,1022
metabolic brain disease serves forum publication outstanding basic clinical papers brain diseases including human animal studies topics include limited stroke traumatic brain injury myelin disorders epilepsy multiple sclerosis toxic encephalopathies genetic diseases affecting brain alcohol brain metabolism neuroendocrinopathies viral nonviral encephalitides nutritional disorders affecting brain diseases affecting neurotransmitters alzheimer disease parkinson disease amyotrophic lateral sclerosis aging journal publishes papers fundamental pathogenesis disorders related experimental clinical techniques methodologies metabolic brain disease directed neuroscientists psychiatrists neurologists pathologists involved research treatment broad range brain disorders,1025
applied biochemistry biotechnology enzyme engineering biotechnology journal devoted publishing highest quality innovative papers fields biochemistry biotechnology typical focus journal report applications novel scientific technological breakthroughs quality papers technological subjects proof concept stage considered addition applied biochemistry biotechnology provide forum practical concepts biotechnology utilization including controls statistical data analysis problem descriptions unique particular application bioprocess economic analyses regard case studies particular applied biochemistry biotechnology accepts previously unpublished work dealing areas outlined pertinent reviews special readers considered book reviews meeting symposia notices news items relating biotechnology industrial academic communities welcome addition publish list patents publications special readers,1026
aimsepj publishes papers describing advances understanding physical aspects soft liquid living systems soft matter generic term large group condensed heterogeneous systems called complex fluids display large response weak external perturbations possess properties governed slow internal dynamics flowing matter refers systems actually flow simple multiphase liquids foams granular matter living matter concerns new physics emerges novel insights properties behaviours living systems furthermore aims developing new concepts quantitative approaches study biological phenomena approaches soft matter physics statistical physics play key role research journal includes reports experimental computational theoretical studies appeals broad interdisciplinary communities including physics chemistry biology mathematics materials science scopei soft matterpolymers polyelectrolytesgels rubbers networkscrystalline glassy molten polymersamphiphilic systemsliquid crystalsthermotropic lyotropic phasesliquid crystalline polymers elastomersself organised supramolecular assembliespurpose designed organic moleculeshierarchical structuresfoams emulsions dispersionssurfactantscolloids nanoparticlescolloids nanoparticles model systemsglasses aggregates fragilityferrofluidsfunctional materials nanodevicessmart materialsdna based nanotechnologytuneable switchable addressable propertiessemiconducting polymers molecular electronics structure morphologyinterfacial phenomena nanostructured surfacesadhesion frictionsoft lithography materials patternii flowing matterliquids complex fluidsstructure dynamics dense liquidsviscoelasticity rheology rheophysicsphase behaviouractive fluidsgranular materialspacking elasticitydynamics dissipation flow behavior slurriestransport jamminginterfacial phenomenacapillarity wetting spreadingmicrofluidics interfacial flows foam emulsions rheologynonlinear physics mesoscale modelingmultiscale hydrodynamicsnon equilibrium dynamics instabilities pattern formationtransport processes multiphase flowsturbulencecomputational fluid dynamics lattice boltzmann methodsiii living systemsbiological matterdna rna chromatinmembranes vesiclesproteins protein assembliescytoskeletal filaments networksstructure functionsingle moleculesnanoscale systemsmolecular machines channels pumps motorsphotobiophysicsprotein foldingbiomimetic systemsreconstituted systemsartificial environments microfluidics microswimmerssynthetic biologycellular processescell mechanics adhesioncell motility force generationtransport traffickingfluctuations noise nonequilibrium processesmulticellular systemstissues organsdevelopmental processes patterningcell communication cooperativitysensory systems neural networksdynamics self organization biological systemscollective motionsbiological networksgenetic protein networkscellular signaling systemspopulation dynamics evolutionrobustness reliabilitybiological informationarticle categoriesregular articlestips trickscolloquiatopical reviewstips tricks short peer reviewed papers focus novel methodological approach facilitates new science papers experimental computational theoretical tips tricks papers maybe shorter normal research papers provide reader readily implement ideas presented standards scientific quality rigour regular papers control experiments clear descriptions comparison previous methods statistical analysis quantitative evaluation appropriate submitted regularly online mention cover letter submission paper contact editors kari dalnoki veress james forrest guidance prepare paper colloquia development new areas research impact new promising experimental theoretical methods fields spectrum topics covered respective journals extensive complete reviews usual sense intended suitably introduce new research directions techniques early stages development wider audience explicit constraint regarding length manuscripts printed pages usual length invited submitted manuscripts undergo refereeing procedure contributions submitted journal invited colloquium papers authors receive honorarium eur publication colour figures free charge colloquium pape rs generally solicited journal editors authors wishing submit colloquium paper advised contact di meglio topical reviews provide comprehensive extensive summary recent research results field spectrum topics covered epj current broader audience topical review aim summarize pertinent experimental theoretical computational results obtained key research groups working field past years historical reviews entire sub field physics discouraged explicit constraint regarding length manuscripts printed pages usual length invited submitted manuscripts undergo refereeing procedure contributions submitted journal invited topical review papers authors receive honorarium eur publication color figures free charge topical review papers generally solicited journal editors authors wishing submit topical review paper advised contact editorial office editors chief,1029
